timestamp,open,high,low,close,volume,datetime
1748358060000,109285.73,109356.93,109272.72,109356.92,19.22132,2025-05-27 15:01:00
1748358120000,109356.93,109356.93,109276.93,109281.01,9.24826,2025-05-27 15:02:00
1748358180000,109281.02,109281.02,109136.37,109136.38,23.06216,2025-05-27 15:03:00
1748358240000,109136.37,109156.32,109010.33,109143.24,52.42928,2025-05-27 15:04:00
1748358300000,109146.32,109238.24,109046.92,109224.58,30.53849,2025-05-27 15:05:00
1748358360000,109224.58,109297.85,109215.34,109290.94,10.22702,2025-05-27 15:06:00
1748358420000,109290.94,109405.52,109290.93,109394.57,20.41325,2025-05-27 15:07:00
1748358480000,109394.57,109476.2,109387.11,109476.19,33.49906,2025-05-27 15:08:00
1748358540000,109476.19,109498.86,109409.09,109419.96,9.39122,2025-05-27 15:09:00
1748358600000,109419.96,109419.97,109209.08,109256.16,73.46276,2025-05-27 15:10:00
1748358660000,109256.16,109396.94,109227.41,109364.49,36.11448,2025-05-27 15:11:00
1748358720000,109364.48,109364.49,109242.15,109335.99,49.4988,2025-05-27 15:12:00
1748358780000,109336.0,109429.22,109335.99,109407.47,14.67912,2025-05-27 15:13:00
1748358840000,109407.47,109538.46,109407.47,109538.45,20.16691,2025-05-27 15:14:00
1748358900000,109538.46,109663.42,109532.16,109614.6,75.29472,2025-05-27 15:15:00
1748358960000,109614.6,109614.6,109565.21,109572.55,13.9137,2025-05-27 15:16:00
1748359020000,109572.56,109580.58,109537.04,109537.05,8.35155,2025-05-27 15:17:00
1748359080000,109537.05,109634.05,109537.04,109596.79,25.31775,2025-05-27 15:18:00
1748359140000,109596.79,109726.06,109596.79,109661.5,47.64692,2025-05-27 15:19:00
1748359200000,109661.49,109661.5,109504.43,109570.8,18.95494,2025-05-27 15:20:00
1748359260000,109570.81,109660.0,109531.1,109632.87,20.8414,2025-05-27 15:21:00
1748359320000,109632.87,109670.97,109590.9,109599.41,14.13924,2025-05-27 15:22:00
1748359380000,109599.41,109695.65,109599.41,109664.65,13.7214,2025-05-27 15:23:00
1748359440000,109664.66,109725.46,109636.37,109636.37,35.18007,2025-05-27 15:24:00
1748359500000,109636.36,109638.07,109562.18,109562.19,8.42322,2025-05-27 15:25:00
1748359560000,109562.18,109626.77,109511.36,109550.43,32.39801,2025-05-27 15:26:00
1748359620000,109550.44,109582.94,109532.77,109565.2,12.13341,2025-05-27 15:27:00
1748359680000,109565.19,109647.37,109500.88,109647.36,63.3254,2025-05-27 15:28:00
1748359740000,109647.37,109680.0,109613.62,109658.28,11.25073,2025-05-27 15:29:00
1748359800000,109658.28,109681.82,109626.74,109636.36,7.56008,2025-05-27 15:30:00
1748359860000,109636.35,109908.93,109636.35,109864.0,35.85399,2025-05-27 15:31:00
1748359920000,109864.0,109864.0,109768.49,109831.97,58.88302,2025-05-27 15:32:00
1748359980000,109831.97,109831.97,109728.0,109728.0,11.22568,2025-05-27 15:33:00
1748360040000,109728.01,109772.73,109698.43,109772.72,15.99378,2025-05-27 15:34:00
1748360100000,109772.73,109786.48,109727.27,109773.08,11.77763,2025-05-27 15:35:00
1748360160000,109773.07,109838.14,109773.07,109838.13,10.48476,2025-05-27 15:36:00
1748360220000,109838.14,109955.07,109838.13,109899.59,25.4332,2025-05-27 15:37:00
1748360280000,109899.6,109952.0,109887.24,109909.88,22.54685,2025-05-27 15:38:00
1748360340000,109909.88,109997.21,109909.88,109960.82,15.31357,2025-05-27 15:39:00
1748360400000,109960.83,110074.25,109903.63,109934.1,60.34268,2025-05-27 15:40:00
1748360460000,109934.1,109989.79,109932.82,109966.31,13.96812,2025-05-27 15:41:00
1748360520000,109966.31,110015.86,109966.31,109979.39,18.20221,2025-05-27 15:42:00
1748360580000,109979.39,110086.96,109973.52,110016.49,21.43635,2025-05-27 15:43:00
1748360640000,110016.49,110016.49,109917.01,110001.99,13.81675,2025-05-27 15:44:00
1748360700000,110002.0,110099.99,110002.0,110099.98,15.64359,2025-05-27 15:45:00
1748360760000,110099.99,110114.07,110053.6,110114.07,18.86651,2025-05-27 15:46:00
1748360820000,110114.07,110140.94,110112.91,110140.93,12.21026,2025-05-27 15:47:00
1748360880000,110140.93,110240.83,110124.0,110137.28,31.6481,2025-05-27 15:48:00
